accident_reference,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile,lsoa_of_casualty
201130482,1,3,2,1,24,5,3,0,0,1,0,0,9,1,1,E01009346
201130482,1,4,2,1,30,6,3,0,0,2,0,0,9,1,1,E01009153
201130482,2,2,1,1,33,6,3,0,0,0,0,0,9,1,1,E01009056
201130482,2,5,2,1,30,6,3,0,0,2,0,0,9,1,3,E01009239
201130482,2,6,2,1,27,6,3,0,0,1,0,0,9,1,1,E01008914
610026321,2,1,1,1,20,4,3,0,0,0,0,0,4,-1,-1,-1
070819609,1,1,1,1,81,11,3,0,0,0,0,0,9,3,5,E01018480
10303602,1,1,3,2,38,7,3,5,9,0,0,0,0,1,10,E01003454
201143965,1,1,2,2,30,6,3,0,0,2,0,0,9,1,3,E01009768
10313002,1,1,2,2,34,6,3,0,0,0,2,0,11,1,3,E01001242
10313002,1,2,2,1,4,1,3,0,0,0,2,0,11,1,3,E01001242
320657179,2,1,1,1,27,6,2,0,0,0,0,0,4,2,5,E01026361
10287407,1,1,1,1,46,8,2,0,0,0,0,0,1,1,6,E01004550
10321408,1,1,2,1,72,10,2,0,0,0,3,0,11,1,2,E01000550
10324619,2,1,1,1,33,6,3,0,0,0,0,0,1,1,2,E01003988
061030219,1,1,3,1,4,1,3,5,2,0,0,0,0,1,5,E01006160
10303291,2,1,1,1,33,6,2,0,0,0,0,0,1,1,8,E01001963
061030132,1,1,1,1,18,4,3,0,0,0,0,0,9,1,1,E01033258
061030132,2,2,1,1,30,6,3,0,0,0,0,0,9,1,1,E01005565
061030132,3,3,1,1,30,6,3,0,0,0,0,0,9,1,6,E01005556
201109161,2,1,1,1,32,6,3,0,0,0,0,0,9,1,3,E01010523
10289582,1,1,1,1,19,4,3,0,0,0,0,0,1,1,1,E01004245
070797915,1,1,3,2,74,10,3,8,5,0,0,0,0,-1,-1,-1
10320431,2,1,1,1,31,6,3,0,0,0,0,0,3,1,2,E01002708
070674665,2,1,3,1,51,8,3,6,5,0,0,0,0,1,2,E01018564
10313146,1,1,1,1,19,4,2,0,0,0,0,0,3,1,3,E01003091
201084311,2,1,1,1,20,4,2,0,0,0,0,0,1,1,1,E01009366
10310242,1,1,1,1,26,6,3,0,0,0,0,0,3,1,4,E01003518
221046788,2,1,1,1,44,7,2,0,0,0,0,0,3,3,7,E01032206
552100248,1,2,1,1,24,5,3,0,0,0,0,0,9,1,9,E01020391
552100248,2,1,1,1,20,4,3,0,0,0,0,0,9,1,5,E01015444
31C107021,2,1,2,1,4,1,3,0,0,0,0,0,90,1,2,E01013945
31C107021,2,2,1,1,14,3,3,0,0,0,0,0,90,1,2,E01013945
520104817,1,1,1,1,25,5,3,0,0,0,0,0,9,1,3,E01015426
10331082,2,1,1,1,-1,-1,3,0,0,0,0,0,1,-1,-1,-1
531013942,2,1,1,1,-1,-1,3,0,0,0,0,0,1,1,9,E01022276
10307791,1,1,1,1,36,7,3,0,0,0,0,0,9,1,6,E01003676
320238239,1,1,2,2,22,5,3,0,0,1,0,0,9,2,4,E01026067
320238239,1,2,1,2,23,5,2,0,0,0,0,0,9,2,4,E01026067
10301363,1,1,1,1,38,7,3,0,0,0,0,0,4,1,3,E01001807
10301781,2,1,1,1,31,6,3,0,0,0,0,0,1,1,5,E01000494
201096028,1,1,1,2,41,7,3,0,0,0,0,0,9,1,3,E01009140
201096028,2,2,1,1,-1,-1,3,0,0,0,0,0,9,1,4,E01009175
052200023,2,1,1,2,62,9,3,0,0,0,0,0,1,1,7,E01007203
131067740,1,1,3,2,24,5,3,1,9,0,0,2,0,1,2,E01011020
991030740,1,1,3,1,43,7,3,1,3,0,0,0,0,1,7,-1
101120711,1,1,3,1,48,8,3,3,3,0,0,0,0,1,5,E01033718
60Z075661,1,1,3,1,12,3,2,5,1,0,0,0,0,-1,-1,-1
10311157,1,1,3,1,34,6,3,1,3,0,0,0,0,1,2,E01000904
63D025821,2,1,1,2,24,5,3,0,0,0,0,0,9,3,7,E01028915
320637463,1,2,1,2,18,4,3,0,0,0,0,0,9,1,10,E01026233
320637463,2,1,1,2,38,7,3,0,0,0,0,0,9,3,4,E01026057
361048407,1,1,1,-1,29,6,3,0,0,0,0,0,9,3,2,E01033040
361048407,2,2,1,1,59,9,3,0,0,0,0,0,9,3,5,E01026423
371047594,1,2,2,2,53,8,3,0,0,0,0,0,19,3,7,E01029885
371047594,2,1,1,1,47,8,3,0,0,0,0,0,19,1,4,E01021392
351053991,2,1,1,2,20,4,3,0,0,0,0,0,9,1,8,E01026289
161034509,1,1,3,1,4,1,3,10,9,0,0,0,0,-1,-1,-1
10300997,1,1,1,1,49,8,3,0,0,0,0,0,9,1,6,E01001563
10308981,1,1,1,1,67,10,3,0,0,0,0,0,9,1,3,E01002303
10308981,2,2,1,1,47,8,3,0,0,0,0,0,9,1,7,E01002301
231037926,1,1,1,2,37,7,3,0,0,0,0,0,11,1,5,E01031262
231037926,2,2,1,2,76,11,3,0,0,0,0,0,9,1,8,E01031302
401014445,1,1,1,1,73,10,3,0,0,0,0,0,9,3,10,E01017452
201137052,2,1,1,2,22,5,3,0,0,0,0,0,9,1,1,E01008882
361090631,2,1,1,2,79,11,3,0,0,0,0,0,9,3,7,E01026608
531137839,1,1,3,1,36,7,2,8,1,0,0,0,0,3,8,W01000472
10328366,2,1,1,1,28,6,3,0,0,0,0,0,19,1,2,E01004041
10328366,2,2,2,1,44,7,3,0,0,0,0,0,19,-1,-1,-1
10317171,2,1,1,1,18,4,3,0,0,0,0,0,3,1,6,E01023848
522102700,2,1,1,2,36,7,3,0,0,0,0,0,9,1,9,E01014819
10330230,2,1,1,1,48,8,2,0,0,0,0,0,1,1,6,E01001236
411024120,2,1,1,1,56,9,2,0,0,0,0,0,1,1,7,E01033314
552101258,2,1,1,1,21,5,3,0,0,0,0,0,1,1,7,E01022735
10294971,2,1,1,2,20,4,3,0,0,0,0,0,9,1,4,E01001323
10312792,1,1,3,2,15,3,3,2,3,0,0,0,0,1,7,E01000135
161055985,1,1,3,1,34,6,3,5,2,0,0,0,0,1,1,E01013136
60Z164243,1,1,3,1,32,6,3,9,5,0,0,0,0,-1,-1,-1
531081704,1,1,3,1,47,8,2,8,5,0,0,0,0,1,1,E01022147
111111450,1,1,2,2,21,5,2,0,0,1,0,0,9,1,2,E01020849
201183223,2,1,1,2,29,6,2,0,0,0,0,0,9,1,1,E01009110
10328074,1,1,1,1,32,6,3,0,0,0,0,0,9,1,7,E01003064
361110727,1,1,1,1,19,4,2,0,0,0,0,0,4,3,5,E01026774
221125858,2,1,1,2,68,10,3,0,0,0,0,0,9,2,5,E01014013
131041308,2,1,1,2,27,6,3,0,0,0,0,0,9,1,3,E01011027
131067094,2,1,1,2,23,5,3,0,0,0,0,0,1,1,3,E01011477
522101523,1,1,1,2,58,9,3,0,0,0,0,0,9,1,1,E01014589
111076491,2,1,1,2,43,7,3,0,0,0,0,0,9,1,1,E01020592
161055135,1,1,1,1,69,10,3,0,0,0,0,0,9,1,6,E01013334
221099451,1,1,1,2,69,10,3,0,0,0,0,0,9,1,2,E01032260
991035513,1,1,1,1,73,10,3,0,0,0,0,0,9,1,9,-1
610026421,1,1,1,2,28,6,3,0,0,0,0,0,9,-1,-1,-1
131075560,1,1,1,2,28,6,3,0,0,0,0,0,9,1,9,E01011302
131075560,1,2,2,1,38,7,3,0,0,1,0,0,9,1,1,E01011659
361068131,2,1,1,2,45,7,3,0,0,0,0,0,1,1,7,E01033434
63B077721,1,1,1,1,33,6,3,0,0,-1,0,0,9,-1,-1,-1
10314419,1,1,2,1,2,1,3,0,0,0,4,0,11,1,1,E01002039
610030021,2,1,1,1,30,6,2,0,0,0,0,0,90,-1,-1,-1
10324073,2,1,1,1,36,7,3,0,0,0,0,0,1,1,2,E01003732
10333756,1,1,2,1,4,1,3,0,0,0,4,0,11,1,1,E01001798
10330932,2,1,1,2,54,8,2,0,0,0,0,0,5,-1,-1,-1
221070432,2,1,1,2,32,6,3,0,0,0,0,0,9,2,9,E01032362
302101231,2,1,1,1,35,6,2,0,0,0,0,0,5,1,1,E01013583
332100615,1,1,1,2,39,7,3,0,0,0,0,0,9,1,10,E01025624
332100615,2,2,1,1,37,7,3,0,0,0,0,0,9,3,9,E01025769
10299022,1,1,3,2,69,10,2,5,2,0,0,0,0,1,2,E01004729
10298843,2,1,2,2,22,5,3,0,0,0,0,0,90,1,3,E01000545
522103905,1,1,3,2,15,3,3,1,3,0,0,0,0,1,7,E01014916
10324458,2,1,1,1,32,6,3,0,0,0,0,0,9,1,7,E01000574
545123421,1,1,1,1,64,9,3,0,0,0,0,0,9,3,7,E01029151
545123421,2,2,1,1,27,6,3,0,0,0,0,0,19,1,6,W01001327
34NNC2201,1,1,1,2,19,4,3,0,0,0,0,0,9,2,9,E01027322
34NNC2201,2,2,1,1,77,11,3,0,0,0,0,0,9,1,7,E01027343
34NNC2201,2,3,2,2,73,10,3,0,0,1,0,0,9,1,7,E01027343
052200140,2,1,1,1,20,4,2,0,0,0,0,0,1,1,1,E01006967
63D047621,1,1,1,1,36,7,3,0,0,2,0,0,9,-1,-1,-1
10312502,1,1,1,1,20,4,3,0,0,0,0,0,9,1,2,E01004535
10312502,1,2,2,-1,-1,-1,3,0,0,1,0,0,9,1,6,E01004621
10312502,1,3,2,-1,-1,-1,3,0,0,2,0,0,9,-1,-1,-1
10312502,1,4,2,-1,-1,-1,3,0,0,2,0,0,9,1,4,E01003448
131058720,1,1,1,2,48,8,3,0,0,0,0,0,9,1,3,E01011919
63A095421,1,1,1,1,17,4,3,0,0,0,0,0,17,-1,-1,-1
201117121,1,1,1,1,20,4,2,0,0,0,0,0,3,1,3,E01009606
201117121,1,2,2,2,20,4,1,0,0,0,0,0,3,1,1,E01032531
10290300,1,1,1,1,46,8,3,0,0,0,0,0,19,1,2,E01003066
170L10621,1,1,1,1,35,6,3,0,0,0,0,0,9,1,1,E01012076
170L10621,2,2,1,1,20,4,3,0,0,0,0,0,9,1,10,E01016663
170L10621,2,3,2,2,21,5,3,0,0,1,0,0,9,-1,-1,-1
211086601,2,1,1,2,38,7,3,0,0,0,0,0,9,1,9,E01029380
31B130121,1,1,1,1,20,4,3,0,0,0,0,0,9,3,3,E01019506
10328921,1,1,3,1,2,1,3,1,1,0,0,0,0,1,9,E01002471
061132376,1,1,1,2,35,6,3,0,0,0,0,0,9,1,1,E01005665
361087981,2,1,1,1,59,9,3,0,0,0,0,0,9,3,8,E01026517
552101193,1,1,1,1,18,4,3,0,0,0,0,0,9,3,8,E01022997
552101193,2,2,1,1,29,6,3,0,0,0,0,0,9,1,6,E01015353
231094676,1,1,1,1,50,8,2,0,0,0,0,0,9,1,5,E01031078
201088455,2,1,2,2,29,6,3,0,0,1,0,0,9,1,5,E01008981
201088455,2,2,1,1,27,6,3,0,0,0,0,0,9,1,5,E01008981
552100296,2,1,1,2,56,9,3,0,0,0,0,0,9,1,7,E01020422
302100478,1,1,1,2,34,6,3,0,0,0,0,0,9,1,4,E01013548
302100478,2,2,1,2,39,7,3,0,0,0,0,0,9,1,2,E01013569
122200080,1,2,2,2,68,10,3,0,0,1,0,0,9,1,7,E01007198
122200080,2,1,1,1,47,8,3,0,0,0,0,0,5,2,4,E01012162
522104343,2,1,1,1,42,7,2,0,0,0,0,0,4,1,1,E01014605
141058571,2,1,1,2,57,9,3,0,0,0,0,0,1,1,6,E01007630
10313568,1,1,3,2,29,6,3,1,3,0,0,0,0,1,4,E01004614
070066800,2,1,1,2,17,4,3,0,0,0,0,0,9,1,7,E01012501
10317435,1,1,1,1,32,6,3,0,0,0,0,0,3,1,2,E01001181
10296173,2,1,1,1,52,8,3,0,0,0,0,0,9,1,4,E01000728
10296173,3,2,1,2,59,9,3,0,0,0,0,0,9,1,8,E01000672
122100982,1,1,1,2,39,7,3,0,0,0,0,0,9,1,9,E01003478
122100982,1,3,2,1,42,7,3,0,0,2,0,0,9,1,9,E01003478
122100982,1,4,2,2,7,2,3,0,0,2,0,0,9,1,9,E01003478
122100982,1,5,2,1,5,1,3,0,0,2,0,0,9,1,9,E01003478
122100982,2,2,1,1,34,6,3,0,0,0,0,0,9,2,6,E01027570
122100982,2,6,2,2,65,9,3,0,0,1,0,0,9,3,7,E01025609
10318784,2,1,1,2,22,5,3,0,0,0,0,0,1,1,4,E01004663
161059918,2,1,1,1,14,3,2,0,0,0,0,0,1,1,1,E01012900
10323111,1,1,1,1,33,6,2,0,0,0,0,0,1,1,2,E01004003
221080030,2,1,1,1,44,7,2,0,0,0,0,0,3,1,5,E01014063
31C170321,2,1,1,1,55,8,3,0,0,0,0,0,1,1,1,E01013920
211153211,2,1,1,1,52,8,3,0,0,0,0,0,9,3,6,E01028885
211153211,2,2,2,2,87,11,3,0,0,-1,0,0,9,3,6,E01028885
170M11491,1,1,3,1,24,5,2,5,1,0,0,0,0,1,1,E01012040
10329291,1,1,3,2,7,2,3,5,1,0,0,0,0,1,4,E01002444
332100992,2,1,1,1,17,4,3,0,0,0,0,0,1,1,1,E01013679
332100992,2,2,2,1,17,4,3,0,0,0,0,0,1,1,1,E01013692
211091152,1,1,1,1,65,9,2,0,0,0,0,0,3,1,6,E01029728
522101729,1,1,3,1,37,7,2,5,1,0,0,0,0,1,1,E01014654
141107446,1,1,1,1,20,4,3,0,0,0,0,0,3,1,3,E01007345
1383M1489,2,1,1,1,23,5,3,0,0,0,0,0,9,1,4,E01010834
10296625,1,1,1,1,41,7,3,0,0,0,0,0,1,1,2,E01000931
061054980,2,1,1,1,44,7,3,0,0,0,0,0,1,1,1,E01033679
351021893,1,1,1,2,62,9,3,0,0,0,0,0,9,3,9,E01018296
10288327,1,1,3,1,60,9,2,1,1,0,0,0,0,3,8,E01014890
10324932,2,1,1,1,45,7,2,0,0,0,0,0,3,1,5,E01003941
10305963,1,1,1,2,19,4,3,0,0,0,0,0,9,1,10,E01030396
10305963,2,2,1,2,70,10,3,0,0,0,0,0,9,1,10,E01030395
610025121,2,1,1,2,55,8,3,0,0,0,0,0,9,-1,-1,-1
351059641,1,1,1,2,36,7,3,0,0,0,0,0,9,1,4,E01018086
138351099,1,1,1,1,34,6,3,0,0,0,0,0,9,1,8,E01011527
122100864,1,1,1,1,21,5,3,0,0,0,0,0,9,1,1,E01010713
122100864,1,2,2,2,55,8,3,0,0,1,0,0,9,1,1,E01010713
10304704,1,1,1,1,51,8,3,0,0,0,0,0,1,1,3,E01001794
131069289,1,1,3,1,70,10,3,5,1,0,0,0,0,1,2,E01011859
320220986,1,1,3,2,18,4,3,6,9,0,0,0,0,-1,-1,-1
991029257,2,2,1,1,53,8,3,0,0,0,0,0,5,3,9,-1
101120790,2,1,2,1,22,5,2,0,0,1,0,0,9,1,2,E01008180
610059921,1,1,1,1,43,7,2,0,0,1,0,0,9,1,4,W01001682
610059921,3,2,1,1,43,7,3,0,0,1,0,0,8,1,2,W01001690
141078798,1,1,1,2,20,4,3,0,0,0,0,0,9,1,4,E01007344
141078798,1,3,2,1,30,6,2,0,0,2,0,0,9,1,1,E01007325
141078798,2,2,1,2,32,6,3,0,0,0,0,0,9,-1,-1,-1
10325844,1,1,1,2,40,7,3,0,0,0,0,0,9,1,4,E01003333
10325844,1,2,2,-1,-1,-1,3,0,0,9,0,0,9,1,4,E01003333
10325844,1,3,2,-1,-1,-1,3,0,0,2,0,0,9,1,4,E01003333
10325844,1,4,2,-1,-1,-1,3,0,0,9,0,0,9,1,4,E01003333
31C190021,1,1,1,1,41,7,3,0,0,0,0,0,3,1,2,E01013947
221025244,1,1,1,1,77,11,3,0,0,0,0,0,1,1,3,E01009209
31B005321,2,1,1,1,52,8,3,0,0,0,0,0,1,1,10,E01028216
10322371,1,1,2,2,61,9,3,0,0,0,4,0,11,1,2,E01003097
070241468,2,1,1,2,42,7,3,0,0,0,0,0,9,1,1,E01018550
34WNC6231,2,1,1,1,32,6,3,0,0,0,0,0,9,1,7,E01023382
10308664,1,1,3,1,12,3,3,1,3,0,0,0,0,1,7,E01000693
201130181,1,1,1,1,28,6,3,0,0,0,0,0,9,-1,-1,-1
10288567,1,1,1,1,62,9,3,0,0,0,0,0,4,1,3,E01004432
141069568,1,1,1,1,24,5,2,0,0,0,0,0,9,1,8,E01007705
141069568,1,2,2,1,21,5,2,0,0,1,0,0,9,1,1,E01007768
141069568,1,3,2,1,20,4,2,0,0,2,0,0,9,1,2,E01007745
141069568,1,4,2,1,20,4,2,0,0,2,0,0,9,1,1,E01007723
302101055,2,1,1,1,28,6,3,0,0,0,0,0,3,1,6,E01013495
10294494,2,1,1,2,21,5,3,0,0,0,0,0,3,1,3,E01004573
138130299,2,1,1,1,34,6,3,0,0,0,0,0,9,1,1,E01010730
211040392,1,1,1,1,30,6,3,0,0,0,0,0,9,1,3,E01029850
10316216,1,1,1,1,23,5,3,0,0,0,0,0,3,1,1,E01033605
201086152,2,1,1,1,42,7,3,0,0,0,0,0,9,1,2,E01010010
201086152,3,2,1,2,29,6,3,0,0,0,0,0,9,1,1,E01033621
201086152,4,3,1,2,24,5,3,0,0,0,0,0,9,1,1,E01009355
138211216,1,1,1,2,20,4,3,0,0,0,0,0,9,2,8,E01011116
10323158,2,1,1,1,38,7,3,0,0,0,0,0,2,1,-1,-1
161059396,1,1,3,2,84,11,2,6,9,0,0,0,0,1,3,E01013198
401021201,1,1,1,2,56,9,3,0,0,0,0,0,19,1,6,E01023390
552101221,1,1,3,1,35,6,3,5,3,0,0,0,0,1,3,E01015285
141033907,1,1,1,1,25,5,3,0,0,0,0,0,9,1,6,E01007455
061040486,1,1,2,1,18,4,2,0,0,2,0,0,9,1,1,E01005422
061040486,1,2,2,1,20,4,2,0,0,1,0,0,9,1,2,E01005461
161095013,1,1,1,1,8,2,3,0,0,0,0,0,1,1,10,E01013113
131079121,1,2,1,2,38,7,3,0,0,0,0,0,9,1,2,E01011061
131079121,1,3,2,1,46,8,3,0,0,1,0,0,9,1,2,E01011061
131079121,1,4,2,2,18,4,3,0,0,2,0,0,9,1,2,E01011061
131079121,1,5,2,1,10,2,3,0,0,2,0,0,9,1,2,E01011061
131079121,2,1,1,1,67,10,3,0,0,0,0,0,19,1,7,E01011531
10296614,1,1,3,1,30,6,3,5,1,0,0,0,0,1,2,E01003194
131048002,1,1,1,1,26,6,2,0,0,0,0,0,9,1,1,E01011292
131048002,2,2,1,1,32,6,3,0,0,0,0,0,9,1,1,E01011354
131048002,2,3,2,2,32,6,3,0,0,1,0,0,9,1,1,E01011354
201147295,2,1,2,2,59,9,3,0,0,1,0,0,9,1,1,E01010445
201147295,2,2,2,2,-1,-1,3,0,0,2,0,0,9,1,1,E01009886
10302129,1,1,1,1,45,7,3,0,0,0,0,0,8,1,2,E01004239
10327831,1,1,1,1,31,6,3,0,0,0,0,0,3,1,3,E01000912
201118910,1,1,1,1,82,11,3,0,0,0,0,0,9,1,5,E01009135
31A198621,1,1,1,1,19,4,3,0,0,0,0,0,3,1,4,E01028278
141028869,1,1,1,1,83,11,3,0,0,0,0,0,9,1,6,E01007560
332100742,2,1,2,2,16,4,3,0,0,1,0,0,9,1,1,E01013673
361083201,1,1,1,1,17,4,3,0,0,0,0,0,9,1,4,E01030110
361083201,1,2,2,2,18,4,3,0,0,1,0,0,9,3,6,E01030068
211035623,1,1,3,2,86,11,2,10,9,0,0,0,0,3,5,E01029817
411032945,2,1,1,2,31,6,3,0,0,0,0,0,9,1,8,E01023541
10321949,1,1,1,1,39,7,3,0,0,0,0,0,9,1,9,E01021483
101012745,1,1,3,1,34,6,3,6,7,0,0,0,0,1,5,E01008172
351045240,1,1,1,1,29,6,3,0,0,0,0,0,9,2,9,E01018154
211069590,1,1,1,1,19,4,2,0,0,0,0,0,3,-1,-1,-1
522200264,2,1,1,1,28,6,3,0,0,0,0,0,9,1,9,E01014436
061077487,1,1,3,2,51,8,3,9,9,0,0,0,0,2,9,E01025358
60Z108635,2,1,1,1,51,8,2,0,0,0,0,0,1,-1,-1,-1
201133801,1,1,3,1,-1,-1,3,4,9,0,0,2,0,-1,-1,-1
351061769,1,1,1,1,28,6,3,0,0,0,0,0,9,1,6,E01015653
31D163021,1,1,1,1,53,8,2,0,0,0,0,0,19,2,9,E01028419
351040943,1,1,3,1,26,6,3,8,1,0,0,0,0,1,8,E01017983
231102154,1,1,1,1,47,8,2,0,0,0,0,0,9,1,1,E01031043
1381L0841,2,1,3,1,25,5,3,9,6,0,0,0,0,1,1,E01010730
10308771,1,1,1,2,37,7,3,0,0,0,0,0,9,1,2,E01003509
131101685,1,1,2,1,29,6,3,0,0,2,0,0,9,1,1,E01011422
131101685,1,2,2,2,26,6,3,0,0,2,0,0,9,1,1,E01011422
31B139321,1,1,1,1,33,6,3,0,0,0,0,0,9,1,9,E01028054
63A069021,1,1,3,1,24,5,3,1,1,0,0,0,0,-1,-1,-1
401031613,2,1,1,2,32,6,3,0,0,0,0,0,1,1,2,E01017537
221035996,1,1,1,1,69,10,3,0,0,0,0,0,9,1,4,E01000609
221035996,1,2,2,2,10,2,3,0,0,2,0,0,9,1,4,E01000609
221035996,1,3,2,2,67,10,2,0,0,1,0,0,9,1,4,E01000609
221035996,1,4,2,2,41,7,3,0,0,1,0,0,9,1,4,E01000609
221035996,1,5,2,2,31,6,3,0,0,2,0,0,9,1,4,E01000609
061087247,2,1,1,1,62,9,3,0,0,0,0,0,1,1,6,E01005420
10317117,1,1,1,2,33,6,3,0,0,0,0,0,1,1,1,E01004199
552100825,1,1,3,2,33,6,2,6,9,0,0,0,0,-1,-1,-1
63B078421,1,1,1,2,31,6,3,0,0,2,0,0,9,-1,-1,-1
061097219,2,1,1,2,29,6,3,0,0,0,0,0,9,1,3,E01005445
351071387,2,1,2,1,13,3,3,0,0,0,0,0,1,-1,-1,-1
131118009,1,1,1,2,27,6,3,0,0,0,0,0,9,1,2,E01010852
201124896,1,1,2,2,45,7,3,0,0,1,0,0,9,1,1,E01010129
201124896,1,2,2,2,58,9,3,0,0,2,0,0,9,1,7,E01010123
63D101021,1,1,2,1,43,7,2,0,0,0,0,0,21,-1,-1,-1
63D101021,1,2,1,1,43,7,3,0,0,0,0,0,21,-1,-1,-1
60Z056042,1,1,3,1,31,6,3,5,9,0,0,0,0,-1,-1,-1
10325053,1,1,1,1,-1,-1,3,0,0,0,0,0,9,1,3,E01002151
221081388,2,1,1,1,54,8,3,0,0,0,0,0,5,3,8,E01032176
221081388,2,2,2,2,15,3,3,0,0,0,0,0,5,3,8,E01032176
10310769,1,1,1,1,52,8,3,0,0,0,0,0,1,1,3,E01004329
10298649,1,1,3,1,20,4,3,5,9,0,0,0,0,1,2,E01003623
201111447,2,1,2,1,10,2,3,0,0,1,0,0,9,1,4,E01010426
101032614,1,1,3,1,25,5,3,9,9,0,0,0,0,-1,-1,-1
131062379,1,1,3,2,15,3,3,5,3,0,0,2,0,1,1,E01011911
610061721,1,1,1,2,56,9,3,0,0,1,0,0,9,2,8,W01001542
10319810,2,1,1,2,62,9,3,0,0,0,0,0,9,1,5,E01001658
10297613,1,1,1,2,25,5,3,0,0,0,0,0,3,1,3,E01002030
231082483,1,2,2,1,75,10,3,0,0,1,0,0,9,1,2,E01031092
231082483,2,1,1,1,21,5,3,0,0,0,0,0,9,1,6,E01025824
10297293,1,1,1,2,30,6,3,0,0,0,0,0,1,1,-1,-1
122101144,1,1,1,1,59,9,3,0,0,0,0,0,5,1,10,E01027717
10317076,2,1,1,1,34,6,3,0,0,0,0,0,1,1,7,E01003199
10302831,1,1,2,1,64,9,3,0,0,0,3,0,11,1,3,E01003526
10307249,1,1,1,1,48,8,3,0,0,0,0,0,9,1,9,E01002926
544910521,2,1,1,1,14,3,3,0,0,0,0,0,1,3,9,E01015473
520104088,1,1,1,2,60,9,3,0,0,0,0,0,9,1,9,E01029252
520104088,2,2,1,1,23,5,2,0,0,0,0,0,4,1,4,E01029232
371062696,2,1,1,1,10,2,3,0,0,0,0,0,1,1,7,E01030103
10302016,1,1,1,2,41,7,3,0,0,0,0,0,9,1,8,E01030666
522201260,1,1,2,1,16,4,3,0,0,2,0,0,9,1,3,E01029093
10299201,1,1,1,2,53,8,3,0,0,0,0,0,9,1,3,E01003940
34NNC7101,1,1,3,1,20,4,2,8,7,0,0,0,0,1,8,E01027097
10298143,1,1,3,2,31,6,3,3,3,0,0,0,0,1,2,E01002797
10310080,1,1,1,1,60,9,3,0,0,0,0,0,9,1,3,E01002528
522105219,1,1,1,2,50,8,3,0,0,0,0,0,9,1,4,E01014786
522105219,1,2,2,1,12,3,3,0,0,2,0,0,9,-1,-1,-1
522105219,1,3,2,1,8,2,3,0,0,2,0,0,9,-1,-1,-1
991043284,1,1,1,1,20,4,3,0,0,0,0,0,9,1,3,-1
201025468,2,1,1,1,44,7,3,0,0,0,0,0,1,1,2,E01009266
10309405,1,1,1,1,31,6,3,0,0,0,0,0,8,1,3,E01002550
10327688,1,1,1,2,27,6,3,0,0,0,0,0,9,1,3,E01003769
